QE_ID,QE_Descrição Curta,QE_Descrição Completa,Categoria,QP_ID,QP_Título,Observações
QE20,Elementos do Business Model Canvas,"Which Business Model Canvas elements are detailed in the article about the software business model?",BUSINESS MODEL CANVAS COMPONENTS,QP09,Características Distintivas e Elementos do Business Model Canvas,Elementos constituintes do modelo
QE21,Atores do ecossistema e interações,"Which actors participate in the ecosystem of the software business model presented in the article and how do they interact?",ACTORS AND RELATIONSHIPS,QP05,Dinâmicas de Ecossistema e Estratégias Go-to-Market,Dinâmicas de ecossistema - atores e relacionamentos
QE22,Motivações para adoção,"What motivations lead to the adoption of the software business model presented in the article?",ADOPTION AND SUCCESS,QP06,Motivações, Fatores de Sucesso e Condições para Adoção,Motivações para adoção
QE23,Fatores de sucesso,"What factors contribute to the success of the software business model as described in the article?",ADOPTION AND SUCCESS,QP06,Motivações, Fatores de Sucesso e Condições para Adoção,Fatores de sucesso
QE24,Pré-requisitos e condições necessárias,"What prerequisites or conditions are necessary for the software business model as described in the article?",RESTRICTIONS AND DEPENDENCIES,QP06,Motivações, Fatores de Sucesso e Condições para Adoção,Condições necessárias para implementação
QE25,Restrições e incompatibilidades,"What restrictions or incompatibilities are mentioned in the article about the software business model?",RESTRICTIONS AND DEPENDENCIES,QP06,Motivações, Fatores de Sucesso e Condições para Adoção,Condições limitantes
QE26,Desafios na implementação,"What challenges are identified in implementing the software business model as presented in the article?",CHALLENGES AND MITIGATION,QP07,Desafios de Implementação e Práticas de Mitigação,Desafios enfrentados
QE27,Práticas de mitigação,"What practices are used to mitigate challenges of the software business model as described in the article?",CHALLENGES AND MITIGATION,QP07,Desafios de Implementação e Práticas de Mitigação,Práticas para resolver desafios
QE28,Métricas e resultados quantitativos,"What metrics and quantitative results are reported in the article about the software business model?",RESULTS AND METRICS,"QP04, QP10","Estratégias de Monetização e Precificação, Evidência Empírica e Metodologias de Estudo",Monetização (QP04) e evidência empírica (QP10)
QE29,Período temporal e maturidade,"What is the temporal period and maturity of the software business model as presented in the article?",TEMPORAL CONTEXT AND EVIDENCE,QP08,Evolução Temporal, Maturidade e Tendências Futuras,Evolução temporal - maturidade
QE30,Tipo de evidência,"What is the type of evidence presented in the article about the software business model?",TEMPORAL CONTEXT AND EVIDENCE,QP10,Evidência Empírica e Metodologias de Estudo,Tipo de evidência metodológica
QE31,Empresas/produtos citados como exemplos,"Which companies or products are cited as examples of the software business model in the article?",TEMPORAL CONTEXT AND EVIDENCE,"QP08, QP10","Evolução Temporal, Maturidade e Tendências Futuras, Evidência Empírica e Metodologias de Estudo",Exemplos para evolução (QP08) e evidência (QP10)
QE32,Variações e subtipos,"Are there variations or subtypes of the software business model described in the article?",COMPLEMENTARY INFORMATION,QP01,Identificação e Taxonomia de Modelos de Negócios,Taxonomia - variações e subtipos
QE33,Tendências futuras,"What future trends or evolutions are mentioned in the article about the software business model?",COMPLEMENTARY INFORMATION,QP08,Evolução Temporal, Maturidade e Tendências Futuras,Tendências futuras e evolução

